scorer,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws
labeled-data/Record1-6/img358980.png,403.25656775656785,223.423103923104,410.38457488457493,200.09508059508067,433.06459756459765,113.91099441099453,444.08060858060867,106.78298728298739,453.80061830061834,116.50299700299712,431.7685962685963,207.87108837108843,414.92057942057954,214.99909549909557,422.0485865485866,203.98308448308455,429.8245943245944,186.48706698706707,435.65660015660023,165.75104625104638,438.8966033966035,142.42302292302304,442.13660663660676,121.03900153900162
labeled-data/Record1-6/img374113.png,411.6805761805763,271.37515187515197,389.00055350055356,251.28713178713184,359.84052434052444,168.34304884304896,371.504536004536,157.97503847503856,384.46454896454907,163.15904365904373,408.440572940573,244.80712530712538,406.4965709965711,260.35914085914095,398.72056322056324,248.04712854712858,392.8885573885575,232.49511299511312,385.7605502605503,211.7590922590923,379.2805437805439,190.37507087507095,374.7445392445393,168.99104949104958
labeled-data/Record1-6/img376346.png,449.9126144126145,268.1351486351487,410.38457488457493,282.391162891163,320.31248481248485,262.30314280314286,314.480478980479,248.69512919512925,326.7924912924914,241.56712206712217,412.32857682857696,259.7111402111403,431.12059562059574,271.37515187515197,411.6805761805763,270.0791505791507,392.8885573885575,267.4871479871481,372.1525366525367,264.8951453951455,354.0085185085186,260.3591408591409,331.3284958284959,253.87913437913443
labeled-data/Record1-6/img385069.png,419.45658395658404,303.77518427518436,395.4805599805601,279.15115965115973,376.04054054054063,189.72707022707033,389.00055350055356,182.5990630990632,400.66456516456526,190.37507087507095,415.5685800685801,274.6151551151552,410.38457488457493,291.46317196317204,405.84857034857043,276.55915705915714,399.3685638685639,259.7111402111403,395.4805599805601,242.2151227151228,390.2965547965549,221.4791019791021,388.3525528525529,197.5030780030781
labeled-data/Record1-6/img393160.png,416.2165807165808,273.3191538191539,384.46454896454907,278.5031590031591,292.44845694845696,251.2871317871319,289.8564543564544,238.97511947511958,300.2244647244647,233.14311364311374,389.64855414855424,259.7111402111403,401.31256581256594,271.37515187515197,387.70455220455233,268.7831492831493,366.96853146853164,264.24714474714483,344.2885087885087,257.76713826713836,320.9604854604854,249.9911304911306,301.5204660204661,243.51112401112414
labeled-data/Record1-6/img397046.png,418.80858330858337,343.3032238032239,403.9045684045684,319.97520047520055,376.04054054054063,240.27112077112088,385.1125496125496,229.25510975510986,398.0725625725627,233.79111429111435,425.2885897885899,315.439195939196,417.51258201258213,330.34321084321095,415.5685800685801,317.38319788319797,409.73657423657426,301.1831816831818,403.25656775656785,281.7431622431623,394.8325593325595,261.00714150714157,389.64855414855424,242.2151227151228
labeled-data/Record1-6/img411379.png,341.04850554850566,211.1110916110917,343.64050814050825,181.3030618030619,404.5525690525692,108.07898857898863,417.51258201258213,106.13498663498672,419.45658395658404,119.0949995949997,364.37652887652894,192.31907281907286,348.17651267651274,197.5030780030781,355.3045198045198,186.48706698706707,366.32053082053085,170.9350514350515,380.57654507654513,154.08703458703468,394.8325593325594,137.2390177390178,406.496570996571,119.74300024300032
labeled-data/Record1-6/img437456.png,463.5206280206281,418.471298971299,447.9686124686126,395.7912762912764,432.416596916597,310.2551907551908,442.7846072846073,299.2391797391798,455.74462024462025,306.36718686718694,468.0566325566326,390.6072711072712,460.92862542862554,404.8632853632854,458.33662283662295,393.84727434727444,455.74462024462036,376.35125685125695,451.8566163566164,353.02323352323356,447.9686124686125,329.6952101952103,445.37660987661,312.1991926991928
labeled-data/Record1-6/img438176.png,409.0885735885737,217.59109809109816,404.5525690525691,183.89506439506448,425.2885897885899,99.65498015498025,437.60060210060215,92.52697302697311,446.67261117261125,102.24698274698284,431.12059562059574,189.72707022707033,414.27257877257875,200.74308124308135,418.1605826605827,185.83906633906645,422.6965871965873,165.75104625104632,427.8805923805926,148.25502875502883,431.7685962685963,125.57500607500617,435.00859950859956,106.13498663498672
labeled-data/Record1-6/img446297.png,442.7846072846073,359.5032400032401,423.99258849258854,337.47121797121804,348.8245133245134,307.66318816318824,342.3445068445069,295.99917649917654,350.76851526851533,286.9271674271675,445.37660987661,329.0472095472096,438.2486027486028,345.2472257472258,435.00859950859956,334.8792153792154,425.2885897885899,315.439195939196,406.4965709965711,302.4791829791832,381.2245457245457,298.59117909117924,357.24852174852174,297.2951777951779
labeled-data/Record1-6/img465454.png,349.472513972514,281.7431622431623,356.6005211005212,251.93513243513252,429.8245943245944,194.26307476307483,444.08060858060867,199.44707994708006,442.7846072846073,214.35109485109496,376.6885411885413,264.24714474714483,359.19252369252376,268.7831492831494,366.9685314685315,257.1191376191377,377.98454248454254,242.86312336312352,394.18455868455874,228.60710910710924,411.6805761805763,216.94309744309754,429.8245943245944,207.22308772308781
labeled-data/Record1-6/img469020.png,438.2486027486028,284.9831654831656,405.84857034857043,289.5191700191701,319.6644841644842,279.7991602991604,311.8884763884764,268.1351486351487,322.90448740448755,257.76713826713836,408.440572940573,266.1911466911468,423.34458784458786,279.79916029916035,407.79257229257234,277.85515835515844,389.00055350055356,273.96715446715456,370.85653535653535,272.0231525231526,350.76851526851533,270.72715122715135,330.03249453249464,268.7831492831494
labeled-data/Record1-6/img472809.png,381.8725463725465,286.9271674271675,367.6165321165322,260.3591408591409,337.8085023085024,179.35905985905993,345.58451008451016,167.6950481950483,358.5445230445231,172.23105273105284,388.352552852553,255.17513567513578,381.2245457245458,273.3191538191539,378.6325431325432,259.06313956313966,374.0965385965386,241.56712206712217,366.9685314685314,222.12710262710272,359.19252369252365,202.68708318708326,352.06451656451657,183.24706374706386
labeled-data/Record1-6/img474843.png,420.7525852525853,291.46317196317204,401.31256581256594,269.43114993115,381.8725463725465,186.48706698706707,394.18455868455874,175.47105597105605,405.20056970056976,183.24706374706386,423.99258849258854,264.24714474714483,416.86458136458145,279.7991602991604,412.32857682857696,266.1911466911468,406.4965709965711,249.99113049113055,401.3125658125658,231.19911169911177,396.77656127656144,209.81509031509046,394.18455868455874,191.02307152307162
labeled-data/Record1-6/img493421.png,389.00055350055356,310.2551907551908,420.1045846045847,290.8151713151714,462.87262737262756,347.19122769122777,445.3766098766099,347.19122769122777,444.72860922860934,335.5272160272161,425.2885897885899,314.7911952911954,407.14457164457167,305.07118557118565,422.6965871965872,301.83118233118245,442.13660663660664,300.5351810351811,460.92862542862554,301.18318168318183,466.1126306126307,318.67919917919926,457.6886221886223,334.8792153792154
labeled-data/Record1-6/img519737.png,228.29639279639278,18.006898506898665,259.4004239004239,37.44691794691806,319.0164835164835,93.17497367497373,319.0164835164836,106.13498663498677,304.7604692604692,106.78298728298739,240.6084051084051,52.35093285093296,239.96040446040448,33.55891405891418,249.6804141804142,44.574925074925204,261.3444258444258,56.23893673893684,274.9524394524394,70.49495099495107,289.8564543564544,83.45496395496406,304.76046926046934,93.8229743229744
